house_id,neighborhood,price,square_feet,num_bedrooms,num_bathrooms,house_age,garage_spaces,lot_size_acres,has_pool,recently_renovated,energy_rating,location_score,school_rating,crime_rate,distance_downtown_miles,sale_date,days_on_market,buyer_id,buyer_budget,buyer_age_group,buyer_family_size,buyer_income_level,has_children,employment_type,buyer_preference,first_time_buyer
H06393,University District,238446,1511,2,2,23,1,0.11,FALSE,FALSE,C,7,6,5,2,1/1/22,26,B06393,260876,45-54,1,low,FALSE,Full-time employed,Space & Bedrooms,FALSE
H02493,University District,172545,1134,2,2,0,1,0.21,TRUE,FALSE,F,7,6,5,2,1/1/22,6,B02493,188262,25-34,1,low,FALSE,Self-employed,Investment,FALSE
H00667,Hillcrest,672801,2580,4,4,5,1,0.15,FALSE,FALSE,E,9,9,2,5,1/1/22,29,B00667,756413,55-64,2,high,FALSE,Retired,Low Maintenance,FALSE
H01217,Riverside,143109,800,2,2,2,0,0.16,FALSE,FALSE,F,8,8,4,3,1/1/22,18,B01217,166196,35-44,1,low,FALSE,Full-time employed,Space & Bedrooms,FALSE
H03858,Suburban Park,686552,3445,6,5,1,3,0.21,FALSE,FALSE,F,8,9,3,10,1/2/22,30,B03858,742793,45-54,4,high,TRUE,Full-time employed,Location & Schools,FALSE
H07869,Oakwood,191077,1026,1,1,17,1,0.16,FALSE,FALSE,D,7,7,5,4,1/2/22,18,B07869,218226,35-44,1,low,FALSE,Dual income,Location & Schools,FALSE
H04139,Lakeside,557143,2315,2,3,6,2,0.14,FALSE,FALSE,F,9,8,3,7,1/2/22,55,B04139,603886,35-44,2,medium,FALSE,Full-time employed,Low Maintenance,TRUE
H06570,Maple Heights,367417,1837,4,4,2,2,0.08,TRUE,FALSE,F,6,6,6,8,1/2/22,3,B06570,397249,35-44,3,medium,TRUE,Dual income,Location & Schools,FALSE
H07522,Suburban Park,740672,3032,5,5,0,2,0.2,FALSE,TRUE,F,8,9,3,10,1/3/22,25,B07522,791248,35-44,4,high,TRUE,Full-time employed,Space & Bedrooms,FALSE
H03744,Downtown,559700,2762,3,3,29,2,0.29,FALSE,FALSE,D,9,7,6,0,1/3/22,33,B03744,592284,65+,1,medium,FALSE,Retired,Low Maintenance,FALSE
H05824,Lakeside,511967,2020,4,4,15,2,0.14,FALSE,FALSE,E,9,8,3,7,1/4/22,10,B05824,537608,25-34,1,medium,FALSE,Full-time employed,Location & Schools,FALSE
H00614,Riverside,279850,1180,1,2,16,1,0.08,FALSE,FALSE,D,8,8,4,3,1/4/22,8,B00614,307076,25-34,1,medium,FALSE,Self-employed,Affordability,FALSE
H06611,Old Town,272818,2453,4,4,4,1,0.21,FALSE,FALSE,D,5,5,7,6,1/4/22,4,B06611,295326,35-44,4,medium,TRUE,Full-time employed,Location & Schools,FALSE
H00702,Downtown,539992,2401,5,5,2,1,0.18,FALSE,FALSE,F,9,7,6,0,1/4/22,38,B00702,599760,25-34,2,medium,FALSE,Full-time employed,Low Maintenance,TRUE
H04937,Green Valley,501879,2494,6,5,13,2,0.35,FALSE,FALSE,E,8,9,2,12,1/4/22,45,B04937,573198,35-44,2,medium,FALSE,Full-time employed,Location & Schools,TRUE
H06432,Green Valley,842746,4196,6,5,2,2,0.28,FALSE,FALSE,F,8,9,2,12,1/5/22,6,B06432,987452,25-34,2,high,FALSE,Full-time employed,Modern & Updated,FALSE
H05932,Oakwood,352075,1995,1,1,18,1,0.13,FALSE,FALSE,D,7,7,5,4,1/5/22,42,B05932,377256,25-34,1,medium,FALSE,Full-time employed,Affordability,FALSE
H00735,Oakwood,169522,806,1,2,13,1,0.11,FALSE,FALSE,D,7,7,5,4,1/5/22,5,B00735,183755,25-34,1,low,FALSE,Full-time employed,Space & Bedrooms,FALSE
H07612,Riverside,164931,800,2,2,2,0,0.14,TRUE,FALSE,E,8,8,4,3,1/5/22,13,B07612,186779,65+,1,low,FALSE,Retired,Affordability,FALSE
H07371,Lakeside,1023854,4500,6,5,12,3,0.12,FALSE,FALSE,E,9,8,3,7,1/5/22,4,B07371,1116999,25-34,3,high,FALSE,Self-employed,Location & Schools,FALSE
H04245,Oakwood,405446,2334,4,4,17,1,0.15,FALSE,FALSE,E,7,7,5,4,1/6/22,66,B04245,453893,25-34,2,medium,FALSE,Dual income,Location & Schools,FALSE
H00927,Hillcrest,741862,2803,4,4,7,1,0.16,FALSE,FALSE,D,9,9,2,5,1/6/22,19,B00927,857749,45-54,4,high,FALSE,Full-time employed,Affordability,FALSE
H01540,Suburban Park,497083,1940,3,3,14,2,0.24,TRUE,FALSE,E,8,9,3,10,1/6/22,5,B01540,529095,35-44,2,medium,FALSE,Dual income,Affordability,FALSE
H07637,Oakwood,509311,3011,5,5,18,2,0.13,FALSE,FALSE,D,7,7,5,4,1/6/22,7,B07637,562137,55-64,3,medium,TRUE,Dual income,Location & Schools,FALSE
H04978,Hillcrest,500175,1640,3,3,10,1,0.23,FALSE,FALSE,E,9,9,2,5,1/6/22,6,B04978,535735,55-64,2,medium,FALSE,Retired,Location & Schools,FALSE
H06109,Hillcrest,1038403,4261,6,5,16,2,0.18,FALSE,FALSE,D,9,9,2,5,1/7/22,43,B06109,1179436,45-54,4,high,TRUE,Self-employed,Location & Schools,TRUE
H03677,Riverside,283563,1428,3,2,9,0,0.21,FALSE,FALSE,C,8,8,4,3,1/7/22,1,B03677,328984,55-64,2,medium,FALSE,Full-time employed,Affordability,FALSE
H05401,Hillcrest,213427,945,1,1,7,0,0.19,FALSE,FALSE,E,9,9,2,5,1/7/22,20,B05401,234653,35-44,1,low,FALSE,Self-employed,Investment,FALSE
H05640,Downtown,735488,3446,6,5,8,3,0.11,FALSE,FALSE,F,9,7,6,0,1/7/22,42,B05640,840074,45-54,4,high,TRUE,Self-employed,Space & Bedrooms,FALSE
H07000,Suburban Park,510979,2408,4,3,6,1,0.34,FALSE,FALSE,D,8,9,3,10,1/7/22,66,B07000,564361,25-34,1,medium,FALSE,Dual income,Affordability,FALSE
H03398,Old Town,120000,800,1,1,10,1,0.14,FALSE,FALSE,E,5,5,7,6,1/7/22,14,B03398,130000,25-34,1,low,FALSE,Full-time employed,Location & Schools,FALSE
